threshold,accuracy,precision,recall,specificity,f1
0.05,0.6939,0.6713,1.0000,0.1838,0.8033
0.10,0.7340,0.7022,0.9974,0.2949,0.8242
0.15,0.7564,0.7204,0.9974,0.3547,0.8366
0.20,0.7724,0.7348,0.9949,0.4017,0.8453
0.25,0.7901,0.7505,0.9949,0.4487,0.8556
0.30,0.7981,0.7578,0.9949,0.4701,0.8603
0.35,0.8045,0.7638,0.9949,0.4872,0.8641
0.40,0.8109,0.7698,0.9949,0.5043,0.8680
0.45,0.8189,0.7776,0.9949,0.5256,0.8729
0.50,0.8317,0.7902,0.9949,0.5598,0.8808
0.55,0.8413,0.8012,0.9923,0.5897,0.8866
0.60,0.8494,0.8122,0.9872,0.6197,0.8912
0.65,0.8558,0.8191,0.9872,0.6368,0.8953
0.70,0.8622,0.8290,0.9821,0.6624,0.8991
0.75,0.8734,0.8433,0.9795,0.6966,0.9063
0.80,0.8846,0.8581,0.9769,0.7308,0.9137
0.85,0.8958,0.8719,0.9769,0.7607,0.9214
0.90,0.9087,0.8899,0.9744,0.7991,0.9302
0.95,0.9199,0.9187,0.9564,0.8590,0.9372
